Area Type,Area Name,Year,Period,Labor Force,Employment,Unemployment,Unemployment Rate,Seasonally Adjusted (Y N),Status
State,California,2016,Annual,"19,102,700","18,065,000","1,037,700",5.4%,N,Final
State,California,2015,Annual,"18,893,200","17,723,300","1,169,900",6.2%,N,Final
State,California,2014,Annual,"18,755,000","17,348,600","1,406,400",7.5%,N,Final
State,California,2013,Annual,"18,624,300","16,958,700","1,665,600",8.9%,N,Final
State,California,2012,Annual,"18,523,800","16,602,700","1,921,100",10.4%,N,Final
State,California,2011,Annual,"18,415,100","16,258,100","2,157,000",11.7%,N,Final
State,California,2010,Annual,"18,336,300","16,091,900","2,244,300",12.2%,N,Final
State,California,2009,Annual,"18,215,100","16,182,600","2,032,600",11.2%,N,Final
State,California,2008,Annual,"18,178,100","16,854,500","1,323,600",7.3%,N,Final
State,California,2007,Annual,"17,893,100","16,931,600","961,500",5.4%,N,Final
State,California,2006,Annual,"17,654,100","16,789,400","864,700",4.9%,N,Final
State,California,2005,Annual,"17,530,100","16,582,700","947,400",5.4%,N,Final
State,California,2004,Annual,"17,383,600","16,304,000","1,079,600",6.2%,N,Final
State,California,2003,Annual,"17,277,600","16,102,800","1,174,800",6.8%,N,Final
State,California,2002,Annual,"17,257,100","16,108,700","1,148,400",6.7%,N,Final
State,California,2001,Annual,"17,128,400","16,197,700","930,800",5.4%,N,Final
State,California,2000,Annual,"16,867,800","16,033,200","834,600",4.9%,N,Final
State,California,1999,Annual,"16,416,600","15,555,300","861,300",5.2%,N,Final
State,California,1998,Annual,"16,144,600","15,184,500","960,100",5.9%,N,Final
State,California,1997,Annual,"15,790,100","14,784,600","1,005,400",6.4%,N,Final
State,California,1996,Annual,"15,422,600","14,300,400","1,122,200",7.3%,N,Final
State,California,1995,Annual,"15,246,000","14,048,200","1,197,800",7.9%,N,Final
State,California,1994,Annual,"15,256,500","13,944,700","1,311,800",8.6%,N,Final
State,California,1993,Annual,"15,261,200","13,817,000","1,444,200",9.5%,N,Final
State,California,1992,Annual,"15,305,000","13,880,900","1,424,100",9.3%,N,Final
State,California,1991,Annual,"15,126,500","13,960,000","1,166,500",7.7%,N,Final
State,California,1990,Annual,"15,138,400","14,264,200","874,300",5.8%,N,Final
County,Alameda County,2016,Annual,"837,900","802,400","35,500",4.2%,N,Final
County,Alpine County,2016,Annual,560,520,40,6.5%,N,Final
County,Amador County,2016,Annual,"14,650","13,780",860,5.9%,N,Final
County,Butte County,2016,Annual,"102,300","95,600","6,700",6.5%,N,Final
County,Calaveras County,2016,Annual,"20,910","19,740","1,180",5.6%,N,Final
County,Colusa County,2016,Annual,"10,890","9,200","1,690",15.5%,N,Final
County,Contra Costa County,2016,Annual,"556,500","531,800","24,600",4.4%,N,Final
County,Del Norte County,2016,Annual,"9,810","9,080",730,7.5%,N,Final
County,El Dorado County,2016,Annual,"89,700","85,200","4,500",5.1%,N,Final
County,Fresno County,2016,Annual,"446,200","404,100","42,100",9.4%,N,Final
County,Glenn County,2016,Annual,"13,090","12,020","1,080",8.2%,N,Final
County,Humboldt County,2016,Annual,"62,700","59,600","3,100",4.9%,N,Final
County,Imperial County,2016,Annual,"76,900","58,800","18,100",23.5%,N,Final
County,Inyo County,2016,Annual,"8,980","8,510",470,5.2%,N,Final
County,Kern County,2016,Annual,"389,100","348,900","40,200",10.3%,N,Final
County,Kings County,2016,Annual,"57,200","51,500","5,700",10%,N,Final
County,Lake County,2016,Annual,"29,380","27,430","1,950",6.6%,N,Final
County,Lassen County,2016,Annual,"10,520","9,790",720,6.9%,N,Final
County,Los Angeles County,2016,Annual,"5,043,300","4,778,800","264,500",5.2%,N,Final
County,Madera County,2016,Annual,"61,500","55,800","5,600",9.2%,N,Final
County,Marin County,2016,Annual,"141,100","136,500","4,600",3.2%,N,Final
County,Mariposa County,2016,Annual,"7,550","7,030",520,6.9%,N,Final
County,Mendocino County,2016,Annual,"39,870","37,780","2,080",5.2%,N,Final
County,Merced County,2016,Annual,"115,000","103,000","12,100",10.5%,N,Final
County,Modoc County,2016,Annual,"3,330","3,070",260,7.8%,N,Final
County,Mono County,2016,Annual,"8,410","7,960",450,5.3%,N,Final
County,Monterey County,2016,Annual,"220,400","203,800","16,700",7.6%,N,Final
County,Napa County,2016,Annual,"73,400","70,300","3,100",4.3%,N,Final
County,Nevada County,2016,Annual,"48,420","46,120","2,300",4.7%,N,Final
County,Orange County,2016,Annual,"1,602,400","1,538,000","64,300",4%,N,Final
County,Placer County,2016,Annual,"179,800","171,800","8,000",4.4%,N,Final
County,Plumas County,2016,Annual,"7,870","7,110",760,9.6%,N,Final
County,Riverside County,2016,Annual,"1,051,800","988,000","63,800",6.1%,N,Final
County,Sacramento County,2016,Annual,"697,400","660,100","37,300",5.4%,N,Final
County,San Benito County,2016,Annual,"29,800","27,800","2,000",6.8%,N,Final
County,San Bernardino County,2016,Annual,"935,600","882,200","53,400",5.7%,N,Final
County,San Diego County,2016,Annual,"1,570,400","1,497,000","73,500",4.7%,N,Final
County,San Francisco County,2016,Annual,"559,800","541,600","18,200",3.3%,N,Final
County,San Joaquin County,2016,Annual,"319,200","293,500","25,700",8.1%,N,Final
County,San Luis Obispo County,2016,Annual,"140,400","134,400","6,000",4.3%,N,Final
County,San Mateo County,2016,Annual,"448,600","435,200","13,400",3%,N,Final
County,Santa Barbara County,2016,Annual,"216,600","205,800","10,800",5%,N,Final
County,Santa Clara County,2016,Annual,"1,026,500","987,900","38,600",3.8%,N,Final
